LigandID,Class
test474,0
test13,1
train443,0
train569,1
train437,1
train781,0
train51,0
test614,0
train486,0
test58,0
test337,0
test110,0
train483,0
test417,0
train485,0
train495,0
test598,0
train78,1
train234,0
train53,0
test537,0
test370,0
test599,0
train739,0
test219,1
train144,0
train431,0
train607,0
train763,0
test75,0
train600,0
train707,0
train581,0
test332,0
test266,0
test333,0
test257,1
test213,0
train424,0
train691,0
test238,0
train561,0
train466,0
test27,0
test61,0
test88,0
train301,1
train354,0
train808,0
train789,0
train436,0
test131,0
train223,0
train398,0
test589,1
train278,0
train72,0
test57,0
train265,0
test211,0
train735,0
test192,0
train274,0
train357,0
train358,0
test272,0
train69,0
train867,1
test607,0
test17,1
train385,0
train326,0
train609,1
train314,0
train250,0
train30,0
train744,0
train695,0
train725,0
train67,0
test427,0
train375,0
train178,1
test378,0
train557,0
train563,0
train417,1
test493,0
train617,0
test588,0
train118,0
test91,0
test208,0
train171,0
train716,0
train310,0
test413,0
train46,0
train61,0
test122,1
train24,1
train468,0
train126,0
train409,0
test64,0
train279,0
train336,0
train807,0
train320,0
test236,0
test51,1
train601,0
test479,0
train840,0
test441,0
train420,0
train837,0
train673,0
train313,0
test560,0
train127,1
train275,0
train80,0
test367,0
train577,0
train206,0
test47,0
train281,0
train242,0
train16,0
test621,0
train343,0
test215,0
train369,0
test26,0
test140,0
test491,0
test224,0
test106,0
train355,1
test394,0
test513,0
test438,0
test19,1
test155,0
train865,0
train784,0
train419,0
test62,0
