LigandID,CAS or NOCAS-number,TC TPO inhibition activity,canonical_smiles
test474,8/2/3913,Inactive,CCCCCCC(CO)CCCC
test13,57-68-1,Active,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
train443,1120-71-4,Inactive,O=S1(=O)CCCO1
train569,23422-53-9,Active,CNC(=O)Oc1cccc(N=CN(C)C)c1
train437,1034-01-1,Active,CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
train781,174185-16-1,Inactive,Cc1oc2c(NC(=O)c3c(Cl)cccc3Cl)cccc2c1C(C)(C)O
train51,63-25-2,Inactive,CNC(=O)Oc1cccc2ccccc12
test614,71526-07-3,Inactive,O=C(C(Cl)Cl)N1CCOC12CCCCC2
train486,2432-87-3,Inactive,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC
test58,84-61-7,Inactive,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1
test337,544-63-8,Inactive,CCCCCCCCCCCCCC(=O)O
test110,97-00-7,Inactive,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
train483,2392-39-4,Inactive,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O
test417,1559-34-8,Inactive,CCCCOCCOCCOCCOCCO
train485,1/6/2425,Inactive,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
train495,2783-94-0,Inactive,O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)O)ccc23)cc1
test598,55814-41-0,Inactive,Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1
train78,77-78-1,Active,COS(=O)(=O)OC
train234,108-59-8,Inactive,COC(=O)CC(=O)OC
train53,64-86-8,Inactive,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
test537,14765-30-1,Inactive,CCC(C)C1CCCCC1=O
test370,692-86-4,Inactive,C=CCCCCCCCCC(=O)OCC
test599,55934-93-5,Inactive,CCCCOC(CC)OC(C)COC(O)CC
train739,124495-18-7,Inactive,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1
test219,118-82-1,Active,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
train144,95-49-8,Inactive,Cc1ccccc1Cl
train431,924-16-3,Inactive,CCCCN(CCCC)N=O
train607,39515-41-8,Inactive,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
train763,145742-28-5,Inactive,COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1
test75,89-87-2,Inactive,Cc1ccc([N+](=O)[O-])c(C)c1
train600,34256-82-1,Inactive,CCOCN(C(=O)CCl)c1c(C)cccc1CC
train707,105512-06-9,Inactive,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1
train581,26225-79-6,Inactive,CC(C)Cc1ccc(C(C)C(=O)O)cc1
test332,534-13-4,Inactive,CNC(=S)NC
test266,127-41-3,Inactive,CC(=O)C=CC1C(C)=CCCC1(C)C
test333,540-18-1,Inactive,CCCCCOC(=O)CCC
test257,126-00-1,Active,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1
test213,117-99-7,Inactive,O=C(c1ccccc1)c1ccccc1O
train424,822-06-0,Inactive,O=C=NCCCCCCN=C=O
train691,87820-88-0,Inactive,CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O
test238,122-57-6,Inactive,CC(=O)C=Cc1ccccc1
train561,21087-64-9,Inactive,CSc1nnc(C(C)(C)C)c(=O)n1N
train466,1/2/1918,Inactive,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl
test27,70-55-3,Inactive,Cc1ccc(S(N)(=O)=O)cc1
test61,86-87-3,Inactive,O=C(O)Cc1cccc2ccccc12
test88,93-76-5,Inactive,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
train301,120-80-9,Active,Oc1ccccc1O
train354,141-66-2,Inactive,COP(=O)(OC)OC(C)=CC(=O)N(C)C
train808,261947-38-0,Inactive,CCC1CC(N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)=O)c2cc(C(F)(F)F)ccc2N1C(=O)OC(C)C
train789,188425-85-6,Inactive,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl
train436,1024-57-3,Inactive,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl
test131,101-37-1,Inactive,C=CCOc1nc(OCC=C)nc(OCC=C)n1
train223,107-18-6,Inactive,C=CCO
train398,556-61-6,Inactive,CN=C=S
test589,39905-57-2,Active,CCCCCCOc1ccc(N)cc1
train278,115-28-6,Inactive,O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
train72,76-87-9,Inactive,CCC(CO)CCCCOC(=O)CCCCCCC(=O)OCCCCC(CC)CO
test57,83-88-5,Inactive,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
train265,112-27-6,Inactive,OCCOCCOCCO
test211,117-08-8,Inactive,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
train735,123122-55-4,Inactive,COCCOCC(CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2
test192,111-27-3,Inactive,CCCCCCO
train274,112-72-1,Inactive,CCCCCCCCCCCCCCO
train357,143-50-0,Inactive,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
train358,145-73-3,Inactive,O=C(O)C1C2CCC(O2)C1C(=O)O
test272,131-57-7,Inactive,COc1ccc(C(=O)c2ccccc2)c(O)c1
train69,75-60-5,Inactive,CC(C)C
train867,1111148-50-5,Active,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N2
test607,64700-56-7,Inactive,CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl
test17,59-40-5,Active,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1
train385,427-51-0,Inactive,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C
train326,124-18-5,Inactive,CCCCCCCCCC
train609,41372-08-1,Active,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
train314,122-62-3,Inactive,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
train250,111-21-7,Inactive,CC(=O)OCCOCCOCCOC(C)=O
train30,57-55-6,Inactive,CC(O)CO
train744,129453-61-8,Inactive,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O
