LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
train183,100-51-6,Inactive,,OCc1ccccc1
train615,49562-28-9,Inactive,,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
train381,333-41-5,Active,,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
test363,633-96-5,Inactive,*,O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3ccccc23)cc1
test580,32388-55-9,Inactive,*,CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C
test114,97-78-9,Inactive,*,CCCCCCCCCCCC(=O)N(C)CC(=O)O
train846,1111147-24-8,Inactive,,Cc1cc2c3c(c1)C(c1ccccc1)=NC(NC(=O)c1ccncc1)C(=O)N3CC2
train559,19774-82-4,Inactive,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
test470,3452-97-9,Inactive,*,CC(CCO)CC(C)(C)C
test464,2996-92-1,Inactive,*,CO[Si](OC)(OC)c1ccccc1
test14,58-72-0,Inactive,*,C(=C(c1ccccc1)c1ccccc1)c1ccccc1
train154,96-18-4,Inactive,,ClCC(Cl)CCl
train211,105-67-9,Active,,Cc1ccc(O)c(C)c1
train110,87-62-7,Inactive,,Cc1cccc(C)c1N
test379,769-92-6,Active,*,CC(C)(C)c1ccc(N)cc1
test527,13614-98-7,Active,*,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O
train695,94361-06-5,Inactive,,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
train723,117337-19-6,Inactive,,COC(=O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl
train248,111-14-8,Inactive,,CCCCCCC(=O)O
train416,678-39-7,Inactive,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
test215,118-55-8,Inactive,*,O=C(Oc1ccccc1)c1ccccc1O
train782,175013-18-0,Inactive,,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1
train755,138261-41-3,Inactive,,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1
test587,37764-25-3,Inactive,*,C=CCN(CC=C)C(=O)C(Cl)Cl
train843,929601-09-2,Inactive,,CCOC(=O)COc1ccc2c(c1)CC(NCC(O)c1cccc(Cl)c1)CC2
test59,85-40-5,Inactive,*,O=C1NC(=O)C2CC=CCC12
train701,98886-44-3,Active,,CCOP(=O)(SC(C)CC)N1CCSC1=O
train435,1007-28-9,Inactive,,CCNc1nc(N)nc(Cl)n1
train726,118134-30-8,Inactive,,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1
train544,10540-29-1,Inactive,,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
test588,39236-46-9,Inactive,*,O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO
test243,123-07-9,Inactive,*,CCc1ccc(O)cc1
train8,51-24-1,Active,,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
test162,107-87-9,Inactive,*,CCCC(C)=O
train670,79983-71-4,Inactive,,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl
