LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
train1,50-22-6,Inactive,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12
train2,50-28-2,Active,,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
train3,50-29-3,Inactive,,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
train4,50-35-1,Inactive,,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
train5,50-41-9,Inactive,,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
train6,50-78-2,Inactive,,CC(=O)Oc1ccccc1C(=O)O
train7,51-21-8,Inactive,,O=C1N=CC(F)C(=O)N1
train8,51-24-1,Active,,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
train9,51-28-5,Inactive,,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
train10,51-30-9,Active,,CC(C)NCC(O)c1ccc(O)c(O)c1
train11,51-52-5,Active,,CCCC1=NC(=S)NC(=O)C1
train12,51-79-6,Inactive,,CCOC(N)=O
train13,52-01-7,Inactive,,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
train14,52-51-7,Inactive,,O=[N+]([O-])C(Br)(CO)CO
train15,52-68-6,Inactive,,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
train16,52-86-8,Inactive,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
train17,53-03-2,Inactive,,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
train18,53-16-7,Inactive,,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
train19,53-86-1,Inactive,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
train20,54-11-5,Inactive,,CN1CCCC1c1cccnc1
train21,54-85-3,Active,,NNC(=O)c1ccncc1
train22,55-18-5,Inactive,,CCN(CC)N=O
train23,55-38-9,Active,,COP(=S)(OC)Oc1ccc(SC)c(C)c1
train24,55-98-1,Active,,NCCc1c[nH]cn1
train25,56-04-2,Active,,CC1=NC(=S)NC(=O)C1
train26,56-81-5,Inactive,,OCC(O)CO
train27,57-30-7,Inactive,,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
train28,57-41-0,Inactive,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
